Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
"Hartford Life and Accident Insurance Company/ WebTPA Employer Services, LLC",,2024/04/01,,,Hawaii,4972,Hackers/Unauthorized Access,
Delta Dental of California,,2024/03.18,,,Hawaii,8553,Hackers/Unauthorized Access,
"Pacific Guardian Life Insurance Company, Limited",,2024/03.08,,,Hawaii,61500,Hackers/Unauthorized Access,
"Oahu Publications, Inc.",,2024/03.04,,,Hawaii,2000,Hackers/Unauthorized Access,
"Prudential Financial, Inc.",,2024/03.01,,,Hawaii,16420,Hackers/Unauthorized Access,
Houser LLP,,2024/02.28,,,Hawaii,1620,Hackers/Unauthorized Access,
"loanDepot.com, LLC",,2024/02.23,,,Hawaii,82677,Hackers/Unauthorized Access,
"Bacon-Universal Holdings, LLC",,2024/02.23,,,Hawaii,3238,Hackers/Unauthorized Access,
"Navvis & Company, LLC (HMSA)",,2024/01.09,,,Hawaii,765370,Hackers/Unauthorized Access,
HawaiiUSA Federal Credit Union,,2023/04.07,,,Hawaii,18651,Hackers/Unauthorized Access,
Bank of America,,2023/03.24,,,Hawaii,1664,Hackers/Unauthorized Access,
"U-Haul International, Inc.",,2022/09.09,,,Hawaii,4608,Hackers/Unauthorized Access,
Edfinancial (Nelnet),,2022/08.26,,,Hawaii,4229,Hackers/Unauthorized Access,
PlanMember Securities,,2022/06.30,,,Hawaii,3349,Hackers/Unauthorized Access,
"Aloha Laser Vision, LLC",,2022/06.30,,,Hawaii,39087,Hackers/Unauthorized Access,
"Flagstar Bank, FSB",,2022/06.17,,,Hawaii,2115,Hackers/Unauthorized Access,
"Horizon Actuarial Services, LLC",,2022/05.24,,,Hawaii,5793,Hackers/Unauthorized Access,
Pingora Loan Servicing,,2022/04.06,,,Hawaii,7002,Hackers/Unauthorized Access,
"Lakeview Loan Servicing, LLC",,2022/03.18,,,Hawaii,13414,Hackers/Unauthorized Access,
"Tennis Warehouse, LLC",,2021/12.16,,,Hawaii,1841,Hackers/Unauthorized Access,
"Running Warehouse, LLC",,2021/12.16,,,Hawaii,1071,Hackers/Unauthorized Access,
