Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
80'steescom,,,,,Indiana,,,
ABAcquisitionLLC,,9/29/2014,8/27/2014,,Indiana,,,
ABAcquisitionLLC,,8/15/2014,6/22/2014,,Indiana,,,
ABMParkingServices,,12/12/2014,9/29/2014,,Indiana,,,
ABMParkingServicesInc,,7/3/2014,2/7/2014,,Indiana,1,,
AccurateBackgroundInc,,3/21/2014,2/28/2014,,Indiana,1,,
AcostaInc,,12/12/2014,11/10/2014,,Indiana,3716,,
AdvancedDataProcessingInc,,10/8/2014,,,Indiana,3,,
AECOMTechnology,,7/3/2014,5/15/2014,,Indiana,241,,
AffinityGaming-SecurityBreach,,5/19/2014,12/7/2013,,Indiana,,,
AFLAC,,1/15/2014,11/25/2013,,Indiana,1,,
AlaskaCommunicationsSystems,,2/20/2014,1/27/2014,,Indiana,5,,
AllianceWorkplaceSolutionsLLC,,10/23/2014,9/19/2014,,Indiana,2226,,
AllianzLifeInsuranceCompanyofNorthAmerica,,9/10/2014,2/18/2014,,Indiana,1,,
AllianzLifeInsuranceCoofNorthAmerica,,4/11/2014,4/1/2013,,Indiana,15,,
AllstateInsuranceCompany-SecurityBreach,,10/31/2014,8/15/2014,,Indiana,1,,
AmericanAthleticConference,,10/30/2014,9/1/2013,,Indiana,8,,
AmericanDentalAssociation,,5/7/2014,4/30/2014,,Indiana,2,,
AmericanHealthInformationManagementAssoc,,4/2/2014,9/1/2013,,Indiana,3,,
AmericanHealthNetworkInc-SecurityBreach,,10/21/2014,10/16/2014,,Indiana,1,,
AmericanNationalInsuranceCompany,,2/14/2014,9/1/2013,,Indiana,3,,
AmericanPublicUniversitySystem,,7/18/2014,6/30/2014,,Indiana,1,,
AmericanResidentialCommunitiesManagementServices,,1/29/2014,1/17/2014,,Indiana,4,,
AmericanResidualsandTalentInc,,12/2/2014,10/18/2014,,Indiana,92,,
AmeripriseFinancial,,5/15/2014,4/30/2014,,Indiana,1,,
AmeripriseFinancialInc,,9/4/2014,,,Indiana,4,,
AMResorts,,12/15/2014,5/1/2014,,Indiana,10,,
AndersonMurisonInc,,8/7/2014,6/1/2014,,Indiana,7,,
ApexSystemsInc,,1/15/2014,12/1/2013,,Indiana,1,,
APiGroupInc,,12/5/2014,11/17/2014,,Indiana,68,,
AscenaRetailGroupInc,,12/17/2014,10/10/2014,,Indiana,8,,
AscensusInc-DataBreach,,6/16/2014,6/5/2014,,Indiana,12,,
AspireInc,,11/26/2014,11/7/2014,,Indiana,1474,,
AssetMarketingServicesLLC,,10/14/2014,9/18/2014,,Indiana,46,,
AssistedLivingConcepts,,2/26/2014,12/14/2013,,Indiana,5394,,
AT&T-SecurityBreach,,6/3/2014,1/1/2013,,Indiana,1,,
AtlanticAutomotiveCorpdbaMileOneAutomotive,,6/24/2014,3/5/2014,,Indiana,57,,
ATT-Breach Notification,,10/2/2014,8/5/2014,,Indiana,8,,
ATT-SecurityBreach,,6/10/2014,4/9/2014,,Indiana,1,,
ATT-SecurityBreach2,,6/18/2014,10/1/2013,,Indiana,1,,
AuburnUniversity,,3/19/2014,10/21/2013,,Indiana,39,,
AuntMartha'sYouthServiceCenterInc,,12/17/2014,11/10/2014,,Indiana,22,,
AutoNationInc,,5/26/2014,3/5/2014,,Indiana,42,,
AyresCarrSullivanPC,,1/22/2014,1/10/2014,,Indiana,16,,
BackcountryGear,,7/28/2014,4/27/2014,,Indiana,72,,
BackcountryGear,,10/22/2014,10/11/2014,,Indiana,2,,
BakerHughesIncorporated,,12/1/2014,11/3/2014,,Indiana,1,,
BankoftheWest,,2/5/2014,,,Indiana,23,,
BannerHealthNetwork,,3/5/2014,2/21/2014,,Indiana,7,,
BarryUniversity,,12/27/2013,5/14/2013,,Indiana,12,,
BartellHotels,,9/12/2014,2/16/2014,,Indiana,75,,
bebeStoresInc,,12/5/2014,11/8/2014,,Indiana,316,,
BenefitExpressServices,,10/28/2014,9/4/2014,,Indiana,1,,
BenjaminFEdwardsCo,,6/27/2014,5/24/2014,,Indiana,273,,
BigEastConference,,11/25/2014,8/1/2013,,Indiana,6,,
BlueCrossandBlueShieldofKansasCityInc,,4/16/2014,8/16/2013,,Indiana,1,,
BlueCrossBlueShieldofMichigan-Breach Notification,,7/18/2014,2/1/2014,,Indiana,1,,
BlueCrossBlueShieldofMichigan-Breach Notification,,4/23/2014,3/13/2014,,Indiana,41,,
BlueZebraSports,,11/19/2014,,,Indiana,70,,
BMV,,12/30/2013,12/20/2013,,Indiana,1,,
BMV,,12/31/2013,12/19/2013,,Indiana,1,,
BMV*,,9/16/2014,9/13/2014,,Indiana,1,,
BMV*,,6/12/2014,6/9/2014,,Indiana,1,,
BMV*,,8/5/2014,7/30/2014,,Indiana,3,,
BMV*,,4/22/2014,4/15/2014,,Indiana,1,,
BMV*,,4/16/2014,3/22/2014,,Indiana,2,,
BMV*,,4/3/2014,4/2/2014,,Indiana,3,,
BNSFRailwayCompany,,10/14/2014,9/17/2014,,Indiana,1,,
BoersmaBrosLLCdbaDutchWear,,12/22/2014,11/7/2014,,Indiana,12,,
BolderImageCompany,,12/22/2014,10/24/2014,,Indiana,6,,
BommerangTags,,4/25/2014,7/4/2013,,Indiana,456,,
BookingBV,,9/18/2014,6/6/2014,,Indiana,1,,
BrightHouseNetworks,,5/12/2014,12/29/2013,,Indiana,31,,
ButlerUniversity,,,,,Indiana,,,
ButlerUniversity-SecurityBreach,,6/13/2014,11/1/2013,,Indiana,"64,181",,
CaliforniaStateUniversityEastBay,,9/5/2014,8/23/2013,,Indiana,1,,
CalypsoStBarthInc,,11/26/2014,10/9/2014,,Indiana,5,,
CampBowWowFranchisingInc,,10/19/2014,9/7/2014,,Indiana,4,,
Catamaran,,2/7/2014,12/26/2013,,Indiana,11,,
CBIOperationsLLCdbaChathamBarsInn,,8/20/2014,3/20/2014,,Indiana,20,,
CCSMedical,,11/10/2014,9/1/2014,,Indiana,5,,
Cedars-SinaiHealthSystems,,9/10/2014,6/23/2014,,Indiana,2,,
CenterforComputerResources,,5/28/2014,4/14/2014,,Indiana,38,,
CentralCityConcern,,4/28/2014,,,Indiana,23,,
CenturyLink,,5/28/2014,12/27/2013,,Indiana,75,,
ChannelwoodMortgageInc,,1/21/2014,12/22/2013,,Indiana,314,,
ChicagoYachtClub,,7/31/2014,,,Indiana,,,
ChicagoYachtClub,,7/31/2014,4/26/2014,,Indiana,20,,
CignaGroupInsurance,,6/17/2014,5/15/2014,,Indiana,1,,
CitibankNA,,4/2/2014,10/30/2013,,Indiana,1,,
CitibankNA-Breach Notification,,7/3/2014,6/7/2014,,Indiana,1,,
CityofCrossvilleTN,,4/2/2014,9/1/2013,,Indiana,8,,
ClamCaseLLC,,8/28/2014,4/18/2014,,Indiana,186,,
ClayCountyHospital,,12/12/2014,11/2/2014,,Indiana,73,,
ColumbiaSouthernUniversity,,10/20/2014,9/18/2014,,Indiana,48,,
Columbus Regional Hospital*,,1/21/2014,11/27/2013,,Indiana,0,,
ColumbusRegionalHealthPhysicians,,4/30/2014,4/29/2014,,Indiana,1,,
ColumbusRegionalHealthPhysicians,,10/28/2014,10/14/2014,,Indiana,1,,
ColumbusRegionalHealthPhysicians-Breach Notification,,11/19/2014,11/13/2014,,Indiana,1,,
ColumbusRegionalHealthPhysicians-Breach Notification,,5/9/2014,5/2/2014,,Indiana,1,,
ColumbusRegionalHealthPhysiciansSouthernIndianaHeart,,10/29/2014,10/1/2014,,Indiana,1,,
CommunityHealthNetwork,,11/21/2014,10/15/2014,,Indiana,1,,
CommunityHealthNetwork-Breach Notification,,4/18/2014,2/27/2014,,Indiana,10,,
CommunityHealthNetwork-Breach Notification,,6/12/2014,5/21/2014,,Indiana,1,,
CommunityHealthNetwork-Breach Notification,,12/11/2014,11/21/2014,,Indiana,1,,
CommunityHealthNetwork-Breach Notification,,11/10/2014,10/11/2014,,Indiana,1,,
CommunityHealthNetwork-Breach Notification,,12/19/2014,12/2/2014,,Indiana,46,,
CommunityHealthSystemsProfessionalServic,,,,,Indiana,,,
CommunityMentalHealthCenter,,8/13/2014,7/24/2014,,Indiana,1,,
CompleteMedicalHomecare,,1/21/2014,12/12/2013,,Indiana,38,,
ConferenceUSAInc,,11/24/2014,,,Indiana,6,,
ContinentalAmericanInsuranceCompany,,1/2/2014,11/15/2013,,Indiana,2,,
ControlConceptsCorporation,,10/24/2014,10/3/2014,,Indiana,2,,
CoreLogicSafeRent,,6/4/2014,,,Indiana,4,,
CottageHealthSystem,,,,,Indiana,,,
CrothallServicesGroup,,8/4/2014,7/1/2014,,Indiana,17,,
CultivianVenturesLLC,,11/17/2014,9/30/2014,,Indiana,5,,
CyberswimInc,,10/14/2014,5/12/2014,,Indiana,431,,
DavidStanleyDodge,,6/13/2014,,,Indiana,6,,
DaVitaHealthCarePartnersAvonDialysis,,6/6/2014,5/30/2014,,Indiana,1,,
DeaconessCompCenter-Breach Notification,,10/8/2014,8/8/2014,,Indiana,1,,
DeaconessCompCenter-Breach Notification,,6/11/2014,6/4/2014,,Indiana,10,,
DeaconessHospital-DataBreach,,3/11/2014,1/7/2014,,Indiana,1,,
DeaconessUrgentCare-COMPCenter,,6/3/2014,4/7/2014,,Indiana,1,,
DeKalbHealth,,3/7/2014,2/9/2014,,Indiana,41,,
DelawareRiverBayAuthority,,10/17/2014,9/20/2013,,Indiana,,,
Delivery2Go,,1/28/2014,10/1/2013,,Indiana,372,,
Deltek'sGovWinIQ,,4/10/2014,7/3/2013,,Indiana,54,,
DiatherixLaboratoriesInc,,8/7/2014,9/24/2011,,Indiana,5,,
DirectLearningSystems,,10/27/2014,7/13/2014,,Indiana,27,,
DirecTV - Security Breach,,3/28/2014,1/1/2014,,Indiana,12,,
DiscoverPropertiesPMGLLP,,,,,Indiana,,,
DixonHughesGoodmanLLP,,9/23/2014,,,Indiana,1,,
DukeEnergyCorporation,,4/10/2014,3/24/2014,,Indiana,1,,
DuluthPack,,10/24/2014,9/27/2014,,Indiana,2,,
DWD-IndianaWorkforce Development*,,9/15/2014,9/10/2014,,Indiana,21,,
DWD-IndianaWorkforce Development*,,1/30/2014,1/23/2014,,Indiana,1,,
EasternAllianceInsuranceGroup,,7/8/2014,6/13/2014,,Indiana,1,,
Easton-BellSportsInc,,1/17/2014,12/1/2013,,Indiana,88,,
EntercomPortlandLLC,,5/9/2014,2/28/2014,,Indiana,9,,
EquifaxIncorp.*,,3/3/2014,4/1/2013,,Indiana,28,,
eScreen,,3/7/2014,10/29/2013,,Indiana,62,,
EvolutionNatureCorpdbaTheEvolutionStore,,10/9/2014,,,Indiana,,,
ExamOne-Breach Notification,,10/22/2014,9/17/2014,,Indiana,2,,
ExamOne-Breach Notification,,5/22/2014,3/25/2014,,Indiana,1,,
ExamOne-Breach Notification,,8/5/2014,6/23/2014,,Indiana,1,,
ExamOne-Breach Notification,,11/5/2014,9/18/2014,,Indiana,1,,
ExamOne-Breach Notification,,6/16/2014,4/26/2014,,Indiana,1,,
Experian,,7/21/2014,4/15/2014,,Indiana,38,,
Experian*,,,,,Indiana,,,
Experian-SecurityBreach,,1/7/2014,12/19/2013,,Indiana,3,,
Experian-SecurityBreach,,10/20/2014,10/9/2014,,Indiana,5,,
Experian-SecurityBreach,,5/22/2014,5/14/2014,,Indiana,4,,
Experian-SecurityBreach,,11/20/2014,11/8/2014,,Indiana,1,,
Experian-SecurityBreach,,11/3/2014,10/20/2014,,Indiana,6,,
Experian-SecurityBreach,,9/26/2014,8/29/2014,,Indiana,17,,
Experian-SecurityBreach,,10/22/2014,10/13/2014,,Indiana,9,,
EZPrintsIncACafePressSubsidiary,,11/11/2014,9/22/2014,,Indiana,29,,
FairwayIndependentMortgageCorporation,,11/21/2014,7/1/2014,,Indiana,247,,
Fidelity,,6/12/2014,7/1/2013,,Indiana,1792,,
FidelityInvestments-Breach Notification,,5/12/2014,1/27/2014,,Indiana,2,,
FidelityInvestments-Breach Notification,,6/26/2014,6/13/2014,,Indiana,3,,
FidelityInvestments-Breach Notification,,5/6/2014,3/27/2014,,Indiana,1,,
FidelityInvestments-Breach Notification,,5/12/2014,3/18/2014,,Indiana,1,,
FinancialCenterFederalCreditUnion,,12/8/2014,12/2/2014,,Indiana,2,,
