Year,Date Reported,Organization,PDF Link,Date of Incident,Date of Discovery,Residents Affected,Breach Type,Notes
2025,1-7-2025,"Medusind, Inc. - Aspen Dental",https://www.iowaattorneygeneral.gov/media/cms/172025_Medusind_Inc_FDF590EF9E4F9.pdf,,,,Theft,"Sunil Shenoi  To Call Writer Directly:  +1 312 862 3028 sunil.shenoi@kirkland.com  333 West Wolf Point Plaza  Chicago, IL 60654  United States  +1 312 862 2000 www.kirkland.com  Facsimile:  +1 312 862 2200 Austin Bay Area Beijing Boston Brussels Dallas Frankfurt Hong Kong Houston London Los Angeles Miami Munich New York Paris Riyadh Salt Lake City Shanghai Washington, D.C.  January 7, 2025  VIA EMAIL  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General  1305 E. Walnut Street  Des Moines, IA 50319  consumer@ag.iowa.gov  In accordance with Iowa Code § 715C.2, I am writing on behalf of Medusind, Inc. (“Medusind”)  to notify you regarding the nature and circumstances of a recent data security incident.  Medusind  is a revenue cycle management company that provides billing support to health care organizations.  On December 29, 2023, Medusind discovered suspicious activity within its IT network.  Upon  learning of the suspicious activity, Medusind took"
2025,1-16-2025,Avery Products Corporation,https://www.iowaattorneygeneral.gov/media/cms/1162025_Avery_Products_Corporation_10BA89AB45F5D.pdf,,,,Ransomware,"                January 16, 2025  VIA EMAIL ONLY  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    EMAIL: consumer@ag.iowa.gov        RE: Notice Of Data Event     Dear Attorney General:   I am writing to you on behalf of Avery Products Corporation (“Avery”), headquartered at 50 Pointe Drive, Brea,  CA, 92821, a manufacturer and supplier of office supplies and print solutions.  Pursuant to Iowa Code Chapter  715 , we are writing to notify you of a data security incident involving 556 Iowa residents.   Approximate date of incident: July 18, 2024-December 9, 2024.  How the breach was discovered:  Ransomware attempt.   This notice may be supplemented if significant new facts are learned subsequent to its submission. By providing  this notice, Avery does not waive any rights or defenses regarding the applicability of Iowa law, the applicability  of the Iowa data event notification statu"
2025,1-17-2025,Wolf Haldenstein Adler Freeman & Herz LLP,https://www.iowaattorneygeneral.gov/media/cms/1172025_Wolf_Haldenstein_Adler_Free_27DCEA50D79E3.pdf,"December 3, 2024","April 18, 2024",,Theft,"        January 17, 2025  Dominik Cvitanovic  (504)-702-1710  Dominik.Cvitanovic@wilsonelser.com     Via Electronic Mail: consumer@ag.iowa.gov    Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re:  Cybersecurity Incident Involving Wolf Haldenstein Adler Freeman & Herz LLP  Wilson Elser File No: 23357.00007_______________________________      Dear Sir/Madam:    Wilson Elser Moskowitz Edelman and Dicker LLP (“Wilson Elser”) represents Wolf Haldenstein  Adler Freeman & Herz LLP (“Wolf Haldenstein”) a law firm headquartered at 270 Madison  Avenue, New York, New York 10016, with respect to a cybersecurity incident that was first  discovered by Wolf Haldenstein on April 18, 2024 (hereinafter, the “Incident”). Wolf Haldenstein  takes the security and privacy of the information in its control very seriously and has taken steps  to prevent a similar incident from occurring in the future. "
2025,1-24-2025,"Furniture Mart, USA",https://www.iowaattorneygeneral.gov/media/cms/1242025_Furniture_Mart_USA_E677D29B59CCC.pdf,,,,Unauthorized Access,"Erica Wicas  Office: (267) 930-4345  Fax: (267) 930-4771  Email: EWicas@mullen.law  426 W. Lancaster Avenue, Suite 200  Devon, PA 19333 Mullen.law  January 24, 2025  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov  Re:  Notice of Data Event  To Whom It May Concern:  We represent Furniture Mart, USA (“Furniture Mart”) located at 140 East Hinks Lane Sioux Falls,  SD 57104 and are writing to notify your office of a data event affecting certain personal  information relating to approximately one thousand one hundred eighty-four (1,184) Iowa  residents. The investigation into this matter is ongoing and this notice will be supplemented with  any new significant facts learned subsequent to its submission. By providing this notice, Furniture  Mart does not waive any rights or defenses regarding the applicability of Iowa law, the  applicability of the I"
2025,1-27-2025,PowerSchool,https://www.iowaattorneygeneral.gov/media/cms/1272025_PowerSchool_2986E99846B2C.pdf,,,,Ransomware,"ROPES & GRAY LLP  2099 PENNSYLVANIA AVENUE, NW   WASHINGTON, DC 20006-6807  WWW.ROPESGRAY.COM  Edward McNicholas  T +1 202 508 4779  Edward.McNicholas@ropesgray.com                  January 27, 2025    Attorney General Brenna Bird  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  consumer@ag.iowa.gov    Re: Data Incident    Dear Attorney General Bird:    We write on behalf of our client, PowerSchool, to inform you of a recent security incident that  affected the personal information of approximately 49,921 Iowa residents.     On December 28, 2024, PowerSchool became aware of a cybersecurity incident involving  unauthorized exfiltration of certain personal information from PowerSchool Student Information  System (SIS) environments through one of our community-focused customer support portals,  PowerSource. The incident appears to have occurred between 12/19/2024-12/28/2024. This was n"
2025,1-28-2025,"Berman & Rabin, P.A.",https://www.iowaattorneygeneral.gov/media/cms/1282025_Berman__Rabin_P_FD9496315E93D.pdf,,,,Unauthorized Access,"Ryan C. Loughlin  Office: (267) 930-4786  Fax: (267) 930-4771  Email: rloughlin@mullen.law 426 W. Lancaster Avenue, Suite 200  Devon, PA 19333 Mullen.law  January 28, 2025  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov  Re:  Notice of Data Event  To Whom It May Concern:  We represent Berman & Rabin, P.A. (“Berman & Rabin”) located at 15280 Metcalf Ave., Overland Park,  KS 66223, and are writing to notify your office of an incident that may involve certain personal information  relating to seven hundred sixty-three (763) Iowa residents. This notice will be supplemented with any new  significant facts learned subsequent to its submission. By providing this notice, Berman & Rabin does not  waive any rights or defenses regarding the applicability of Iowa law, the applicability of the Iowa data  event notification statute, or personal jurisdiction"
2025,2-12-2025,A.Y. McDonald Industries Inc,https://www.iowaattorneygeneral.gov/media/cms/2122025_A_A9066C3E03574.pdf,,"January 30, 2025",,Theft,"      35707114.1      Dominic A. Paluzzi  Direct Dial: 248.220.1356  E-mail: dpaluzzi@mcdonaldhopkins.com    February 12, 2025    VIA Email     Attorney General Brenna Bird  Office of the Attorney General  Consumer Protection Division  Security Breach Notifications  1305 E Walnut Street  Des Moines, IA 50319-0106      Re: A.Y. McDonald Industries Inc – Incident Notification    Dear Ms. Bird:    McDonald Hopkins PLC represents A.Y. McDonald Industries Inc. (“A.Y. McDonald”).  I am writing to provide notification of an incident at A.Y. McDonald that may affect the security  of personal information of approximately 821 Iowa residents. A.Y. McDonald’s investigation is  ongoing, and this notification will be supplemented with any new or significant facts or findings  subsequent to this submission, if any. By providing this notice, A.Y. McDonald does not waive  any rights or defenses regarding the applicability of Iowa law or personal jurisdiction.      A.Y. McDonald experienced a data secur"
2025,2-13-2025,"Day Rettig Martin, PC",https://www.iowaattorneygeneral.gov/media/cms/2132025_Day_Rettig_Martin_P_967AA2109D26C.pdf,"December 30, 2024",,,Theft,"A PRO FES SIO NAL CO RPO RAT ION  ______________  JORDAN MORGAN  jmorgan@c-wlaw.com  LEI WANG  lwang@c-wlaw.com  ATTORNEYS AT LAW  450 Sentry Parkway, Suite 200  Blue Bell, PA  19422   Phone:  (610) 567-0700  Fax:  (610) 567-0712   www.C-WLAW.com  A Mid-Atlantic Litigation Firm  Visit us online at   www.C-WLAW.com  February 13, 2025  Via Email (consumer@ag.iowa.gov)  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  RE:   Security Breach Notification  To Whom It May Concern:  We serve as counsel for Day Rettig Martin, P.C. (“DRM”), located at 150 1st Ave. N.E., Suite 415, Cedar Rapids,  IA 52401, and provide this notification to you of a recent data security incident suffered by DRM. By providing this notice,  DRM does not waive any rights or defenses under Iowa law, including the data breach notification statute.   On or around April 17, 2024, DRM became aware of certain unauthorized"
2025,2-14-2025,"The Pension Specialists, Ltd.",https://www.iowaattorneygeneral.gov/media/cms/2142025_The_Pension_Specialists_Ltd_E37FCB5608AE4.pdf,,,,Theft,"            12434009v1  Lauren Godfrey, Partner  Cybersecurity & Data Privacy Team  322 North Shore Drive  Building 1B, Suite 200  lgodfrey@constangy.com   Direct: 412.870.4129    Mobile:973.462.9521  February 14, 2025  Via EMAIL  Attorney General Brenna Bird  Office of the Attorney General  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  Email: consumer@ag.iowa.gov    Re:  Notice of Data Security Incident  To Whom It May Concern:  Constangy, Brooks, Smith & Prophete, LLP represents The Pension Specialists, Ltd. (“TPS”), a  company headquartered in Machesney Park, Illinois, in connection with a data security incident  described in greater detail below. The purpose of this letter is to notify you of the incident.  1.  What Happened  On February 24, 2024, TPS experienced a network disruption and immediately initiated an  investigation of the matter. TPS engaged independent cybersecuri"
2025,2-21-2025,"DISA Global Solutions, Inc",https://www.iowaattorneygeneral.gov/media/cms/2212025_DISA_Global_Solutions__BEDD0F8C20D43.pdf,,,,Theft,"  DISA Global Solutions  11740 Katy Freeway, Ste 900  Houston, Texas 77079, USA  Phone: (832) 285-8027   ❖   Web: www.disa.com       VIA E- Mail               February 21, 2025  Consumer Protection  Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106  consumer@ag.iowa.gov    Re: Notice of Security Incident     To the Office of the Iowa Attorney General:     DISA Global Solutions, Inc. (“DISA”) is a third-party administrator of employment screening  services, including drug and alcohol testing and background checks. We write to inform you that  notice is being sent to Iowa residents regarding a data incident in which DISA was the victim of a  cyberattack that could have resulted in certain personal information potentially being procured  without authorizations. As a service provider, DISA came into possession of this personal  information due to the employment screening services we provide thousands of companies. In  addition, some personal information came into"
