Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
Hewlett Packard Company,,8/16/2007,,,Massachusetts,Unknown,Unknown,
Kraft Foods,,9/11/2007,,,Massachusetts,Unknown,Unknown,
The Hartford,,9/12/2007,,,Massachusetts,Unknown,Unknown,
Symantec Corporation,,9/21/2007,,,Massachusetts,Unknown,Unknown,
The Hartford,,10/5/2007,,,Massachusetts,Unknown,Unknown,
Daymon Worldwide Inc.,,10/9/2007,,,Massachusetts,Unknown,Unknown,
Blockbuster Video,,10/20/2007,,,Massachusetts,Unknown,Unknown,
American Academy of Pediatrics,,10/26/2007,,,Massachusetts,Unknown,Unknown,
New England School of Law,,10/30/2007,,,Massachusetts,Unknown,Unknown,
MeadWestvaco,,11/3/2007,,,Massachusetts,Unknown,Unknown,
Computershare,,11/7/2007,,,Massachusetts,Unknown,Unknown,
"The Commonwealth of MA -
Executive Office of Elder Affairs",,11/14/2007,,,Massachusetts,Unknown,Unknown,
The Horace Mann Companies,,11/16/2007,,,Massachusetts,Unknown,Unknown,
Harvard University,,11/16/2007,,,Massachusetts,Unknown,Unknown,
General Cable,,11/23/2007,,,Massachusetts,Unknown,Unknown,
"Beth Israel Deaconess Family
Medicine",,11/26/2007,,,Massachusetts,Unknown,Unknown,
HellerEhrman LLP,,11/30/2007,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,12/3/2007,,,Massachusetts,Unknown,Unknown,
"Oracle USA, Inc.",,12/3/2007,,,Massachusetts,Unknown,Unknown,
Prudential Financial,,12/3/2007,,,Massachusetts,Unknown,Unknown,
Ortho-Clinical Diganostics,,12/4/2007,,,Massachusetts,Unknown,Unknown,
"The Northwestern Mutual Life
Insurance Company",,12/6/2007,,,Massachusetts,Unknown,Unknown,
Northwestern Mutual,,12/6/2007,,,Massachusetts,Unknown,Unknown,
"Peerless Industries, Inc.",,12/17/2007,,,Massachusetts,Unknown,Unknown,
"Forrester Research, Inc.",,12/18/2007,,,Massachusetts,Unknown,Unknown,
