"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Decisely Insurance Services, LLC","GA","Business Associate","65405","06/13/2025","Hacking/IT Incident","Network Server","Yes",""
"Elmore County","ID","Healthcare Provider","931","06/13/2025","Hacking/IT Incident","Email","No",""
"Arkansas Urology Associates PA","AR","Healthcare Provider","642","06/13/2025","Unauthorized Access/Disclosure","Email","No",""
"Apex Global Solutions, LLC","NY","Business Associate","14741","06/10/2025","Hacking/IT Incident","Desktop Computer, Laptop","Yes",""
"Repay Management Services, LLC","GA","Health Plan","606","06/10/2025","Hacking/IT Incident","Network Server","Yes",""
"Sentara Health","VA","Healthcare Provider","13278","06/09/2025","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Episource, LLC","CA","Business Associate","5418866","06/06/2025","Hacking/IT Incident","Network Server","Yes",""
"Blue Shield of California","CA","Business Associate","1543","06/06/2025","Unauthorized Access/Disclosure","Other","Yes",""
"Sharp Community Medical Group","CA","Healthcare Provider","2029","06/06/2025","Hacking/IT Incident","Network Server","Yes",""
"Public Health Trust of Miami Dade County DBA Jackson Health System","FL","Healthcare Provider","2599","06/06/2025","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Sharp HealthCare","CA","Healthcare Provider","24971","06/06/2025","Hacking/IT Incident","Network Server","Yes",""
"Centivo Corporation","GA","Business Associate","630","06/06/2025","Unauthorized Access/Disclosure","Email","Yes",""
"Sensata Technologies, Inc. Health and Welfare Benefit Plan","MA","Health Plan","15630","06/05/2025","Hacking/IT Incident","Network Server","No",""
"AffirmedRx PBC","KY","Business Associate","1089","06/05/2025","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Renkim Corporation","MI","Business Associate","46592","06/02/2025","Hacking/IT Incident","Network Server","Yes",""
"Cumberland County Hospital Association","KY","Healthcare Provider","36659","06/02/2025","Hacking/IT Incident","Other","No",""
"Upper Dublin Family Dentistry","PA","Healthcare Provider","5000","05/30/2025","Hacking/IT Incident","Network Server","No",""
"Ocuco Inc","FL","Business Associate","240961","05/30/2025","Hacking/IT Incident","Network Server","Yes",""
"CareOregon, Inc.","OR","Health Plan","1786","05/30/2025","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oliver Street Dermatology Management LLC ","TX","Business Associate","13717","05/30/2025","Hacking/IT Incident","Network Server","Yes",""
"Horizon Blue Cross Blue Shield NJ","NJ","Health Plan","781","05/30/2025","Hacking/IT Incident","Network Server","No",""
"Next Step Healthcare LLC","MA","Healthcare Provider","12090","05/30/2025","Hacking/IT Incident","Network Server","No",""
"Missouri Department of Conservation","MO","Health Plan","10260","05/30/2025","Hacking/IT Incident","Network Server","No",""
"Northwestern Community Services Board","VA","Healthcare Provider","21856","05/29/2025","Hacking/IT Incident","Network Server","No",""
"Gateway Community Services, Inc. ","FL","Healthcare Provider","34498","05/29/2025","Hacking/IT Incident","Network Server","No",""
